state_abbr,year,crimes
OH,2013,578836
OH,2014,561975
OH,2015,544513
OH,2016,565459
OH,2017,591831
OH,2018,564211
OH,2019,524664
OK,2008,24965
OK,2009,28657
OK,2010,29075
OK,2011,35384
OK,2013,72754
OK,2014,75784
OK,2015,83454
OK,2016,98694
OK,2018,106414
OK,2019,144662
OR,2006,92414
OR,2007,88740
OR,2008,82016
OR,2009,77994
OR,2010,79833
OR,2011,85454
OR,2012,90287
OR,2013,93208
OR,2014,117542
OR,2015,191224
OR,2016,236173
OR,2017,249796
OR,2018,260072
OR,2019,239641
PA,2012,20
PA,2013,1250
PA,2014,5945
PA,2015,7517
PA,2016,6498
PA,2017,6799
PA,2018,4580
PA,2019,2565
RI,2006,48872
RI,2007,63997
RI,2008,67429
RI,2009,64407
RI,2010,63365
RI,2011,62026
RI,2012,60994
RI,2013,56949
RI,2014,53258
RI,2015,50795
RI,2016,49194
RI,2017,49170
RI,2018,46860
RI,2019,43833
SC,2006,483594
SC,2007,498879
SC,2008,474872
SC,2009,456123
SC,2010,452386
SC,2011,452596
SC,2012,445075
SC,2013,421178
SC,2014,417752
SC,2015,413305
SC,2016,409856
SC,2017,407205
SC,2018,401093
SC,2019,383634
SD,2006,28431
SD,2007,32022
SD,2008,35121
SD,2009,37160
SD,2010,37971
SD,2011,39641
SD,2012,44512
SD,2013,44437
SD,2014,46674
SD,2015,52400
SD,2016,56696
SD,2017,57119
SD,2018,54711
SD,2019,55487
TN,2006,635289
TN,2007,647069
TN,2008,632358
TN,2009,612020
TN,2010,597077
TN,2011,593236
TN,2012,586744
TN,2013,557905
TN,2015,545695
TN,2016,563525
TN,2017,1168590
TN,2018,1130338
TN,2019,534955
TX,2006,329533
TX,2007,322488
TX,2008,288653
TX,2009,282440
TX,2010,262664
TX,2012,231885
TX,2013,213050
TX,2014,215678
TX,2015,223497
TX,2016,229335
TX,2017,307388
TX,2018,637504
TX,2019,1000733
UT,2006,179175
UT,2007,197204
UT,2008,182956
UT,2009,192574
UT,2010,185079
UT,2011,177301
UT,2012,186830
UT,2013,189192
UT,2014,186427
UT,2015,200838
UT,2016,200739
UT,2017,204968
UT,2018,191319
UT,2019,182759
VA,2006,519604
VA,2007,527254
VA,2009,512522
VA,2010,502151
VA,2011,495102
VA,2012,489595
VA,2013,475312
VA,2014,459946
VA,2015,455848
VA,2016,463077
VA,2017,463807
VA,2018,446811
VA,2019,440889
VT,2006,32974
VT,2007,31345
VT,2008,32012
VT,2009,31511
VT,2010,28508
VT,2011,30172
VT,2012,31689
VT,2013,27043
VT,2014,19073
VT,2015,12946
VT,2016,19587
VT,2017,20971
VT,2018,19396
VT,2019,20835
WA,2006,3519
WA,2007,88150
WA,2008,92616
WA,2009,92322
WA,2010,105529
WA,2011,182614
WA,2012,338110
WA,2013,356000
WA,2014,368904
WA,2015,379887
WA,2016,439179
WA,2017,457721
WA,2018,454974
WA,2019,430107
WV,2006,110340
WV,2007,105241
WV,2008,105852
WV,2009,103254
WV,2010,86498
WV,2011,83353
WV,2012,95770
WV,2013,77754
WV,2014,73032
WV,2015,76033
WV,2016,81259
WV,2017,77471
WV,2018,61775
WV,2019,53296
