year,state,code,crime,Total,bin
2010,South Carolina,SC,383737,4476500,"(3000000, 6000000]"
2010,South Dakota,SD,31049,787000,"(530000, 3000000]"
2010,Tennessee,TN,515960,6186200,"(6000000, 8000000]"
2010,Texas,TX,235651,24584400,"(22000000, 25000000]"
2010,Utah,UT,145483,2724100,"(530000, 3000000]"
2010,Vermont,VT,25484,599500,"(530000, 3000000]"
2010,Virginia,VA,433182,7703800,"(6000000, 8000000]"
2010,Washington,WA,85047,6575900,"(6000000, 8000000]"
2010,West Virginia,WV,76318,1799000,"(530000, 3000000]"
2011,Alabama,AL,4123,4676000,"(3000000, 6000000]"
2011,Arizona,AZ,12805,6324500,"(6000000, 8000000]"
2011,Arkansas,AR,212009,2849500,"(530000, 3000000]"
2011,Colorado,CO,226725,4983900,"(3000000, 6000000]"
2011,Connecticut,CT,97947,3466400,"(3000000, 6000000]"
2011,Delaware,DE,70325,880100,"(530000, 3000000]"
2011,District of Columbia,DC,3112,583900,"(530000, 3000000]"
2011,Idaho,ID,71641,1547300,"(530000, 3000000]"
2011,Illinois,IL,16814,12553800,"(11000000, 14000000]"
2011,Iowa,IA,142412,2963800,"(530000, 3000000]"
2011,Kansas,KS,150167,2772200,"(530000, 3000000]"
2011,Kentucky,KY,144140,4227900,"(3000000, 6000000]"
2011,Louisiana,LA,42896,4431200,"(3000000, 6000000]"
2011,Maine,ME,16167,1292200,"(530000, 3000000]"
2011,Massachusetts,MA,243826,6360600,"(6000000, 8000000]"
2011,Michigan,MI,564424,9655100,"(8000000, 11000000]"
2011,Missouri,MO,59349,5823500,"(3000000, 6000000]"
2011,Nebraska,NE,29568,1782300,"(530000, 3000000]"
2011,New Hampshire,NH,66165,1278200,"(530000, 3000000]"
2011,North Dakota,ND,28861,657100,"(530000, 3000000]"
2011,Ohio,OH,522241,11224600,"(11000000, 14000000]"
2011,Oklahoma,OK,31206,3664800,"(3000000, 6000000]"
2011,Oregon,OR,70899,3793500,"(3000000, 6000000]"
2011,Rhode Island,RI,55598,1007400,"(530000, 3000000]"
2011,South Carolina,SC,383370,4519500,"(3000000, 6000000]"
2011,South Dakota,SD,32058,791400,"(530000, 3000000]"
2011,Tennessee,TN,508185,6230500,"(6000000, 8000000]"
2011,Texas,TX,221764,25006100,"(25000000, 29000000]"
2011,Utah,UT,139866,2767500,"(530000, 3000000]"
2011,Vermont,VT,26808,599800,"(530000, 3000000]"
2011,Virginia,VA,427739,7783700,"(6000000, 8000000]"
2011,Washington,WA,149608,6654400,"(6000000, 8000000]"
2011,West Virginia,WV,72997,1802200,"(530000, 3000000]"
2012,Alabama,AL,4035,4696000,"(3000000, 6000000]"
2012,Arizona,AZ,12623,6386300,"(6000000, 8000000]"
2012,Arkansas,AR,209791,2860200,"(530000, 3000000]"
2012,Colorado,CO,258486,5045900,"(3000000, 6000000]"
2012,Connecticut,CT,96357,3479300,"(3000000, 6000000]"
2012,Delaware,DE,68668,888000,"(530000, 3000000]"
2012,District of Columbia,DC,3061,596000,"(530000, 3000000]"
2012,Idaho,ID,70157,1562500,"(530000, 3000000]"
2012,Illinois,IL,16777,12567900,"(11000000, 14000000]"
2012,Iowa,IA,136474,2976000,"(530000, 3000000]"
2012,Kansas,KS,153880,2787500,"(530000, 3000000]"
2012,Kentucky,KY,154934,4235100,"(3000000, 6000000]"
2012,Louisiana,LA,36868,4457000,"(3000000, 6000000]"
2012,Maine,ME,17236,1292600,"(530000, 3000000]"
2012,Massachusetts,MA,241358,6410600,"(6000000, 8000000]"
2012,Michigan,MI,562587,9659300,"(8000000, 11000000]"
2012,Missouri,MO,64725,5830600,"(3000000, 6000000]"
2012,Nebraska,NE,29964,1795100,"(530000, 3000000]"
2012,New Hampshire,NH,66029,1280100,"(530000, 3000000]"
2012,North Dakota,ND,32857,671900,"(530000, 3000000]"
2012,Ohio,OH,506320,11222100,"(11000000, 14000000]"
2012,Oklahoma,OK,50839,3689500,"(3000000, 6000000]"
2012,Oregon,OR,73873,3825500,"(3000000, 6000000]"
2012,Pennsylvania,PA,9,12347600,"(11000000, 14000000]"
2012,Rhode Island,RI,54486,1007900,"(530000, 3000000]"
2012,South Carolina,SC,376836,4569100,"(3000000, 6000000]"
2012,South Dakota,SD,35812,800400,"(530000, 3000000]"
2012,Tennessee,TN,497275,6277400,"(6000000, 8000000]"
2012,Texas,TX,205896,25384300,"(25000000, 29000000]"
2012,Utah,UT,150216,2801700,"(530000, 3000000]"
2012,Vermont,VT,28148,600700,"(530000, 3000000]"
2012,Virginia,VA,422665,7865500,"(6000000, 8000000]"
2012,Washington,WA,285535,6732900,"(6000000, 8000000]"
2012,West Virginia,WV,84254,1801800,"(530000, 3000000]"
2013,Alabama,AL,4429,4705800,"(3000000, 6000000]"
2013,Arizona,AZ,19899,6465700,"(6000000, 8000000]"
2013,Arkansas,AR,196081,2868600,"(530000, 3000000]"
2013,Colorado,CO,252930,5130200,"(3000000, 6000000]"
2013,Connecticut,CT,91061,3479000,"(3000000, 6000000]"
2013,Delaware,DE,64670,898500,"(530000, 3000000]"
2013,District of Columbia,DC,3513,610300,"(530000, 3000000]"
2013,Idaho,ID,68219,1580900,"(530000, 3000000]"
2013,Illinois,IL,15618,12571100,"(11000000, 14000000]"
2013,Indiana,IN,54,6366500,"(6000000, 8000000]"
2013,Iowa,IA,131880,2990300,"(530000, 3000000]"
2013,Kansas,KS,143517,2796500,"(530000, 3000000]"
2013,Kentucky,KY,145720,4260900,"(3000000, 6000000]"
2013,Louisiana,LA,37127,4483200,"(3000000, 6000000]"
2013,Maine,ME,17577,1291900,"(530000, 3000000]"
2013,Massachusetts,MA,231817,6451500,"(6000000, 8000000]"
2013,Michigan,MI,522879,9664300,"(8000000, 11000000]"
2013,Missouri,MO,62623,5853100,"(3000000, 6000000]"
2013,Nebraska,NE,28713,1811200,"(530000, 3000000]"
2013,New Hampshire,NH,62626,1280700,"(530000, 3000000]"
2013,North Dakota,ND,33434,693500,"(530000, 3000000]"
2013,Ohio,OH,490057,11239600,"(11000000, 14000000]"
2013,Oklahoma,OK,62675,3726900,"(3000000, 6000000]"
2013,Oregon,OR,77596,3851600,"(3000000, 6000000]"
2013,Pennsylvania,PA,943,12344300,"(11000000, 14000000]"
2013,Rhode Island,RI,51428,1008600,"(530000, 3000000]"
2013,South Carolina,SC,357849,4616200,"(3000000, 6000000]"
2013,South Dakota,SD,34470,811600,"(530000, 3000000]"
2013,Tennessee,TN,469175,6318700,"(6000000, 8000000]"
2013,Texas,TX,189139,25773000,"(25000000, 29000000]"
2013,Utah,UT,151011,2849400,"(530000, 3000000]"
2013,Vermont,VT,24210,603000,"(530000, 3000000]"
2013,Virginia,VA,410009,7945700,"(6000000, 8000000]"
2013,Washington,WA,303164,6797800,"(6000000, 8000000]"
2013,West Virginia,WV,67629,1798200,"(530000, 3000000]"
2014,Alabama,AL,3871,4714100,"(3000000, 6000000]"
2014,Arizona,AZ,19467,6556200,"(6000000, 8000000]"
2014,Arkansas,AR,180809,2880000,"(530000, 3000000]"
2014,Colorado,CO,253328,5217000,"(3000000, 6000000]"
2014,Connecticut,CT,89445,3480400,"(3000000, 6000000]"
2014,Delaware,DE,63311,905300,"(530000, 3000000]"
2014,District of Columbia,DC,3169,623500,"(530000, 3000000]"
2014,Idaho,ID,67512,1598800,"(530000, 3000000]"
2014,Illinois,IL,14765,12569400,"(11000000, 14000000]"
2014,Indiana,IN,5407,6386700,"(6000000, 8000000]"
2014,Iowa,IA,127046,3002100,"(3000000, 6000000]"
2014,Kansas,KS,128657,2810700,"(530000, 3000000]"
2014,Kentucky,KY,162473,4268800,"(3000000, 6000000]"
2014,Louisiana,LA,37487,4508500,"(3000000, 6000000]"
2014,Maine,ME,16014,1293800,"(530000, 3000000]"
2014,Massachusetts,MA,215514,6506500,"(6000000, 8000000]"
2014,Michigan,MI,492028,9682700,"(8000000, 11000000]"
2014,Missouri,MO,63117,5870200,"(3000000, 6000000]"
2014,Nebraska,NE,28217,1823700,"(530000, 3000000]"
2014,New Hampshire,NH,62361,1286500,"(530000, 3000000]"
2014,North Dakota,ND,35993,708400,"(530000, 3000000]"
2014,Ohio,OH,477230,11270300,"(11000000, 14000000]"
2014,Oklahoma,OK,64543,3749500,"(3000000, 6000000]"
2014,Oregon,OR,97445,3889600,"(3000000, 6000000]"
2014,Pennsylvania,PA,4795,12368000,"(11000000, 14000000]"
2014,Rhode Island,RI,48207,1013700,"(530000, 3000000]"
2014,South Carolina,SC,356180,4674300,"(3000000, 6000000]"
2014,South Dakota,SD,36169,821600,"(530000, 3000000]"
2014,Tennessee,TN,460408,6374800,"(6000000, 8000000]"
2014,Texas,TX,190420,26280100,"(25000000, 29000000]"
2014,Utah,UT,144720,2891800,"(530000, 3000000]"
2014,Vermont,VT,17279,600000,"(530000, 3000000]"
2014,Virginia,VA,396522,8006000,"(8000000, 11000000]"
2014,Washington,WA,318256,6887600,"(6000000, 8000000]"
2014,West Virginia,WV,63271,1791600,"(530000, 3000000]"
2015,Alabama,AL,4392,4730100,"(3000000, 6000000]"
2015,Arizona,AZ,18174,6655100,"(6000000, 8000000]"
2015,Arkansas,AR,189091,2882300,"(530000, 3000000]"
2015,Colorado,CO,267542,5315400,"(3000000, 6000000]"
2015,Connecticut,CT,89298,3478100,"(3000000, 6000000]"
2015,Delaware,DE,61094,918300,"(530000, 3000000]"
2015,District of Columbia,DC,3170,634800,"(530000, 3000000]"
2015,Idaho,ID,67084,1617200,"(530000, 3000000]"
2015,Illinois,IL,14291,12549700,"(11000000, 14000000]"
2015,Indiana,IN,5636,6415100,"(6000000, 8000000]"
2015,Iowa,IA,132615,3019800,"(3000000, 6000000]"
2015,Kansas,KS,127928,2816600,"(530000, 3000000]"
2015,Kentucky,KY,197061,4283400,"(3000000, 6000000]"
2015,Louisiana,LA,46066,4530300,"(3000000, 6000000]"
2015,Maine,ME,15173,1292600,"(530000, 3000000]"
2015,Massachusetts,MA,203988,6555600,"(6000000, 8000000]"
2015,Michigan,MI,487547,9693800,"(8000000, 11000000]"
2015,Missouri,MO,62555,5890900,"(3000000, 6000000]"
2015,New Hampshire,NH,62017,1287600,"(530000, 3000000]"
2015,North Dakota,ND,39985,726400,"(530000, 3000000]"
2015,Ohio,OH,466375,11293300,"(11000000, 14000000]"
2015,Oklahoma,OK,70311,3783700,"(3000000, 6000000]"
2015,Oregon,OR,159183,3948700,"(3000000, 6000000]"
2015,Pennsylvania,PA,5880,12386400,"(11000000, 14000000]"
2015,Rhode Island,RI,45866,1014400,"(530000, 3000000]"
2015,South Carolina,SC,353004,4734000,"(3000000, 6000000]"
2015,South Dakota,SD,39784,829000,"(530000, 3000000]"
2015,Tennessee,TN,457238,6422800,"(6000000, 8000000]"
2015,Texas,TX,197568,26777500,"(25000000, 29000000]"
2015,Utah,UT,155028,2945200,"(530000, 3000000]"
2015,Vermont,VT,11719,602400,"(530000, 3000000]"
2015,Virginia,VA,393556,8051200,"(8000000, 11000000]"
2015,Washington,WA,325344,7002800,"(6000000, 8000000]"
2015,West Virginia,WV,65898,1791500,"(530000, 3000000]"
2016,Alabama,AL,3057,4730100,"(3000000, 6000000]"
2016,Arizona,AZ,16847,6760900,"(6000000, 8000000]"
2016,Arkansas,AR,200224,2895400,"(530000, 3000000]"
2016,Colorado,CO,278441,5398100,"(3000000, 6000000]"
2016,Connecticut,CT,97560,3465100,"(3000000, 6000000]"
2016,Delaware,DE,62805,924300,"(530000, 3000000]"
2016,District of Columbia,DC,3515,644400,"(530000, 3000000]"
2016,Idaho,ID,69005,1650700,"(530000, 3000000]"
2016,Illinois,IL,13639,12491200,"(11000000, 14000000]"
2016,Indiana,IN,7205,6431400,"(6000000, 8000000]"
2016,Iowa,IA,136246,3030400,"(3000000, 6000000]"
2016,Kansas,KS,135345,2817000,"(530000, 3000000]"
2016,Kentucky,KY,198856,4287700,"(3000000, 6000000]"
2016,Louisiana,LA,44015,4530500,"(3000000, 6000000]"
2016,Maine,ME,16407,1293800,"(530000, 3000000]"
2016,Massachusetts,MA,194611,6570600,"(6000000, 8000000]"
2016,Michigan,MI,504997,9693500,"(8000000, 11000000]"
2016,Missouri,MO,63789,5898000,"(3000000, 6000000]"
2016,Nebraska,NE,32098,1845000,"(530000, 3000000]"
2016,New Hampshire,NH,58596,1291300,"(530000, 3000000]"
2016,North Dakota,ND,39560,725900,"(530000, 3000000]"
2016,Ohio,OH,479658,11278700,"(11000000, 14000000]"
2016,Oklahoma,OK,81105,3800800,"(3000000, 6000000]"
2016,Oregon,OR,197713,4014500,"(3000000, 6000000]"
2016,Pennsylvania,PA,5235,12364700,"(11000000, 14000000]"
2016,Rhode Island,RI,44017,1013900,"(530000, 3000000]"
2016,South Carolina,SC,349596,4805300,"(3000000, 6000000]"
2016,South Dakota,SD,42044,835800,"(530000, 3000000]"
2016,Tennessee,TN,465243,6467700,"(6000000, 8000000]"
2016,Texas,TX,201688,27178300,"(25000000, 29000000]"
2016,Utah,UT,154265,2999300,"(530000, 3000000]"
2016,Vermont,VT,17664,599600,"(530000, 3000000]"
2016,Virginia,VA,397471,8080900,"(8000000, 11000000]"
2016,Washington,WA,372217,7124100,"(6000000, 8000000]"
2016,West Virginia,WV,69721,1781700,"(530000, 3000000]"
2017,New Hampshire,NH,56327,1297000,"(530000, 3000000]"
2017,Ohio,OH,497774,11323500,"(11000000, 14000000]"
2017,Oklahoma,OK,83618,3803700,"(3000000, 6000000]"
2017,Oregon,OR,214110,4063000,"(3000000, 6000000]"
2017,Pennsylvania,PA,5421,12389100,"(11000000, 14000000]"
2017,Rhode Island,RI,43926,1015900,"(530000, 3000000]"
2017,South Carolina,SC,345483,4864600,"(3000000, 6000000]"
2017,South Dakota,SD,41781,837000,"(530000, 3000000]"
2017,Tennessee,TN,478282,6538200,"(6000000, 8000000]"
2017,Texas,TX,269585,27621300,"(25000000, 29000000]"
2017,Utah,UT,153710,3047400,"(3000000, 6000000]"
2017,Vermont,VT,18783,600200,"(530000, 3000000]"
2017,Virginia,VA,394859,8140700,"(8000000, 11000000]"
2017,Washington,WA,383400,7239800,"(6000000, 8000000]"
2017,West Virginia,WV,67002,1762100,"(530000, 3000000]"
2018,New Hampshire,NH,54921,1310300,"(530000, 3000000]"
2018,New Mexico,NM,69394,2045300,"(530000, 3000000]"
2018,Ohio,OH,474003,11355900,"(11000000, 14000000]"
2018,Oklahoma,OK,87166,3816100,"(3000000, 6000000]"
2018,Oregon,OR,222507,4110800,"(3000000, 6000000]"
2018,Pennsylvania,PA,3691,12388100,"(11000000, 14000000]"
2018,Rhode Island,RI,41907,1014000,"(530000, 3000000]"
2018,South Carolina,SC,341309,4929800,"(3000000, 6000000]"
2018,South Dakota,SD,41415,848700,"(530000, 3000000]"
2018,Tennessee,TN,461161,6586400,"(6000000, 8000000]"
2018,Texas,TX,569911,28024000,"(25000000, 29000000]"
2018,Utah,UT,141793,3105900,"(3000000, 6000000]"
2018,Vermont,VT,17460,600600,"(530000, 3000000]"
2018,Virginia,VA,379568,8182100,"(8000000, 11000000]"
2018,Washington,WA,377686,7368000,"(6000000, 8000000]"
2018,West Virginia,WV,54257,1752300,"(530000, 3000000]"
2019,New Mexico,NM,67569,2041400,"(530000, 3000000]"
2019,Ohio,OH,442871,11351500,"(11000000, 14000000]"
